Attraction,lat,lon
Kitsilano Beach,49.27624,-123.15436
Queen Elizabeth Park,49.24163,-123.11288
Science World,49.27316,-123.10350
Stanley Park,49.30406,-123.14357
Granville Island,49.27712,-123.13430
Vancouver Aquarium,49.30198,-123.13327
VanDausen Botanical Garden,49.23476,-123.12920
Spanish Banks Beach,49.27692,-123.21401
English Bay Beach,49.28663,-123.14485
Canada Place,49.28910,-123.11141
Vancouver Public Library,49.28040,-123.11312
Bill Ried Gallery,49.28470,-123.11898
Jericho Beach,49.27254,-123.19438
Gastown Steam Clock,49.2843841,-123.1088901
Honey Doughnuts & Goodies,49.3266818,-122.9501214
Birks Clock,49.2851447,-123.1140076
